Group,Test,Symbol,Parameter,TestMethod,Alt1,Alt1,Alt3,SampleType,FieldSampleMass,SpecimenType,SpecimenMass,SpecimenNumbers,SpecimenD,SpecimenL,SpecimenW,SpecimenH,SpecimenMaxGrainSize,SpecimenMaxGrainFraction
Chemical,pyritic BRE suite,BRE 2,water-soluble SO4 acid-soluble SO4 total sulphur pH,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,non-pyritic Brownfield suite,BRE 3,wate-soluble SO4 pH magnesium chloride NO3,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,pyritic BRE Brownfield,BRE 4,"water-soluble SO4 acid-soluble SO4 total sulphur, pH magnesium chloride Cl NO3",,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Mineralogy,Petrography SEM/EDS,SEM,Mineral identification & composition,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Mineralogy,Powder XRD,powder XRD,Minerals characterisation & percentages,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Mineralogy,Clay fraction ,clay XRD,clay minerals characterisation,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Compaction,2.5 kg compaction - 1 L mould,2.5kg_1L,maximum dry density optimum water content air voids,BS 1377-2:11.3 (2022),NULL,NULL,NULL,Disturbed,80,NULL,5,5,105,NULL,NULL,115,20,NULL
Compaction,2.5 kg compaction - CBR mould,2.5kg_2.3L,maximum dry density optimum water content air voids,BS 1377-2:11.4 (2022),NULL,NULL,NULL,Disturbed,120,NULL,10,5,152,NULL,NULL,127,20,NULL
Compaction,4.5 kg compaction - 1 L mould,4.5kg_1L,maximum dry density optimum water content air voids,BS 1377-2:11.5 (2022),NULL,NULL,NULL,Disturbed,80,NULL,5,5,105,NULL,NULL,115,20,NULL
Compaction,4.5 kg compaction - CBR mould,4.5kg_2.3L,"maximum dry density, optimum water content, air voids",BS 1377-2:11.6 (2022),NULL,NULL,NULL,Disturbed,120,NULL,10,5,152,NULL,NULL,127,20,NULL
